,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
A CEREALS AND MILLETS,A001,"Amaranth seed, black (Amaranthus cruentus)",9.89,14.59,5.74,7.02,59.98,1490,0.04,0.04,0.45,0.24,0.5,1.92,27.44,,181,0.059,0.81,9.33,0.013,325,,374,433,2.7,2.66,55.83,0.1,0.22,0.46,0.88
,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",9.20±0.40,13.27±0.34,5.56±0.33,7.47±0.09,61.46±0.60,1489±10,0.04±0.007,0.04±0.007,0.52±0.05,0.28±0.03,0.33±0.023,1.87±0.24,24.65±3.21,,162±15.7,0.021±0.005,0.56±0.09,8.02±0.93,0.018±0.012,270±33.2,,412±22.0,413±45.9,2.81±0.22,2.52±0.20,59.33±1.31,0.10±0.01,0.22±0.04,0.48±0.04,0.80±0.07
,A003,Bajra (Pennisetum typhoideum),8.97±0.60,10.96±0.26,5.43±0.64,11.49±0.62,61.78±0.85,1456±18,0.25±0.044,0.20±0.038,0.86±0.10,0.50±0.05,0.27±0.009,0.64±0.05,36.11±5.05,0.97±0.24,27.35±2.16,0.030±0.015,0.54±0.11,6.42±1.04,0.008±0.002,124±19.5,0.77±1.48,289±25.3,365±18.0,4.11±0.09,2.76±0.36,55.21±2.57,0.21±0.01,0.60±0.02,,0.81±0.01
,A004,Barley (Hordeum vulgare),9.77±0.38,10.94±0.51,1.30±0.20,15.64±0.64,61.29±0.77,1321±19,0.36±0.059,0.18±0.030,2.84±0.08,0.14±0.02,0.31±0.026,2.38±0.11,31.58±3.79,,28.64±3.49,0.027±0.010,0.43±0.17,1.56±0.15,,48.97±6.1,1.84±0.50,178±26.8,268±20.4,7.56±1.52,1.50±0.27,72.67±2.92,,0.06±0.02,,0.06±0.02
,A005,Jowar (Sorghum vulgare),9.01±0.77,9.97±0.43,1.73±0.31,10.22±0.49,67.68±1.03,1398±13,0.35±0.039,0.14±0.014,2.10±0.09,0.27±0.02,0.28±0.023,0.70±0.06,39.42±3.13,1.53±0.04,27.60±3.71,0.012±0.007,0.45±0.11,3.95±0.94,0.008±0.003,133±14.8,2.62±2.15,274±35.7,328±25.1,5.42±0.21,1.96±0.31,59.70±1.70,0.57±0.07,0.10±0.01,0.60±0.04,1.27±0.05
,A006,"Maize, dry (Zea mays)",9.26±0.55,8.80±0.49,3.77±0.48,12.24±0.93,64.77±1.58,1398±25,0.33±0.032,0.09±0.009,2.69±0.06,0.34±0.03,0.34±0.017,0.49±0.05,25.81±1.44,,8.91±0.61,0.010±0.003,0.45±0.23,2.49±0.32,,145±12.4,3.19±2.64,279±35.3,291±27.7,4.44±0.18,2.27±0.23,59.35±0.83,0.16±0.03,0.80±0.01,0.70±0.03,1.66±0.04
,A007,"Maize, tender, local (Zea mays)",68.29±0.52,3.57±0.42,1.40±0.30,3.67±0.26,22.69±0.94,502±7,0.17±0.024,0.12±0.021,1.13±0.02,0.35±0.04,0.45±0.033,1.70±0.27,62.96±5.66,,6.35±0.89,,0.18±0.06,0.71±0.06,0.001±0.000,47.62±5.32,,163±25.7,167±36.8,2.24±0.07,0.97±0.14,15.88±2.80,0.27±0.03,0.80±0.06,0.40±0.04,1.47±0.05
,A008,"Maize, tender, sweet (Zea mays)",74.40±0.71,4.16±0.41,1.35±0.07,3.30±0.51,16.42±0.89,405±14,0.10±0.008,0.14±0.007,1.14±0.02,0.32±0.04,0.38±0.084,1.91±0.30,59.71±7.70,,6.37±1.07,0.001±0.000,0.11±0.02,0.54±0.07,,36.51±1.87,,121±13.6,297±4.1,2.23±0.06,0.77±0.09,7.45±0.68,0.91±0.04,0.97±0.02,2.79±0.03,4.67±0.05
,A009,Quinoa (Chenopodium quinoa),10.43,13.11,5.5,14.66,53.65,1374,0.83,0.22,1.7,0.62,0.21,0.62,173,0.03,198,,0.48,7.51,,119,,212,474,4.5,3.31,48.41,,1.41,,1.41
,A010,Ragi (Eleusine coracana),10.89±0.61,7.16±0.63,1.92±0.14,11.18±1.14,66.82±0.73,1342±10,0.37±0.041,0.17±0.008,1.34±0.02,0.29±0.19,0.05±0.007,0.88±0.05,34.66±4.97,,364±58.0,0.022±0.009,0.67±0.22,4.62±0.36,0.005±0.002,146±10.7,3.96±1.41,210±58.4,443±59.6,4.75±0.14,2.53±0.51,62.13±1.31,,0.25±0.06,0.12±0.02,0.34±0.06
,A011,Rice flakes (Oryza sativa),10.36±0.53,7.44±0.35,1.14±0.11,3.46±0.32,76.75±0.96,1480±16,0.12±0.020,0.04±0.006,1.60±0.09,0.48±0.06,0.02±0.002,0.39±0.09,8.46±0.93,,9.19±1.33,0.007±0.003,0.26±0.05,4.46±0.81,0.005±0.003,77.92±12.75,,195±20.5,148±13.8,2.58±0.06,1.49±0.21,68.06±1.81,,0.20±0.07,0.14±0.02,0.34±0.06
,A012,Rice puffed (Oryza sativa ),9.40±0.22,7.47±0.15,1.62±0.13,2.56±0.33,77.68±0.54,1514±4,0.11±0.018,0.04±0.017,1.87±0.10,0.38±0.03,0.07±0.005,1.26±0.08,,,15.09±2.92,0.007±0.002,0.25±0.05,4.55±1.03,0.013±0.006,64.59±6.01,,152±20.6,140±14.0,3.69±0.87,1.45±0.29,69.25±2.16,,0.49±0.07,0.15±0.03,0.64±0.08
,A013,"Rice, raw, brown (Oryza sativa )",9.33±0.39,9.16±0.75,1.24±0.08,4.43±0.54,74.80±0.85,1480±10,0.27±0.023,0.06±0.011,3.40±0.12,0.61±0.04,0.37±0.035,1.38±0.21,11.51±1.69,,10.93±1.79,0.011±0.003,0.37±0.14,1.02±0.35,0.002±0.001,93.91±9.11,,267±64.9,199±40.9,3.64±0.08,1.68±0.33,71.31±1.91,,0.55±0.08,0.14±0.02,0.69±0.08
,A014,"Rice, parboiled, milled (Oryza sativa )",10.09±0.43,7.81±0.63,0.55±0.08,3.74±0.36,77.16±0.76,1471±8,0.17±0.023,0.06±0.018,2.51±0.49,0.55±0.06,0.22±0.017,0.31±0.02,9.75±2.10,,8.11±1.01,0.003±0.001,0.27±0.12,0.72±0.20,0.006±0.002,26.72±8.52,,140±25.0,142±20.3,3.16±1.33,1.08±0.20,76.14±5.73,,0.51±0.24,0.16±0.06,0.67±0.25
,A015,"Rice, raw, milled (Oryza sativa )",9.93±0.75,7.94±0.58,0.52±0.05,2.81±0.42,78.24±1.07,1491±15,0.05±0.019,0.05±0.006,1.69±0.13,0.57±0.05,0.12±0.012,0.60±0.12,9.32±1.93,,7.49±1.26,0.003±0.002,0.23±0.06,0.65±0.11,0.005±0.004,19.30±6.99,,96±16.30,108±10.9,2.34±0.28,1.21±0.17,75.70±2.70,,0.54±0.25,0.15±0.06,0.69±0.28
,A016,Samai (Panicum miliare),11.36±0.19,10.13±0.45,3.89±0.35,7.72±0.92,65.55±1.29,1449±19,0.26±0.042,0.05±0.008,1.29±0.02,0.60±0.07,0.04±0.005,6.03±0.57,36.20±7.04,0.49±0.15,16.06±1.54,0.001±0.000,0.34±0.08,1.26±0.44,,91.41±12.63,,130±27.5,105±15.7,4.77±0.14,1.82±0.14,56.07±4.12,,0.24±0.10,0.13±0.01,0.37±0.09
,A017,Varagu (Setaria italica),14.23±0.45,8.92±1.09,2.55±0.13,6.39±0.60,66.19±1.19,1388±10,0.29±0.054,0.20±0.018,1.49±0.08,0.63±0.07,0.07±0.017,1.49±0.18,39.49±4.52,,15.27±1.28,0.005±0.003,0.26±0.05,2.34±0.46,,122±5.9,0.74±0.15,101±5.2,94±10.7,3.35±0.04,1.65±0.18,64.96±2.93,,0.89±0.11,0.40±0.02,1.29±0.10
,A018,"Wheat flour, refined (Triticum aestivum)",11.34±0.93,10.36±0.29,0.76±0.07,2.76±0.29,74.27±0.92,1472±16,0.15±0.017,0.06±0.008,0.77±0.07,0.72±0.08,0.08±0.008,0.58±0.09,16.25±2.62,,20.40±2.46,0.001±0.001,0.17±0.02,1.77±0.38,0.004±0.002,30.69±2.77,,110±9.8,148±7.0,1.54±0.48,0.88±0.07,70.03±1.01,0.64±0.03,0.75±0.02,0.40±0.05,1.79±0.08
,A019,"Wheat flour, atta (Triticum aestivum)",11.10±0.35,10.57±0.37,1.53±0.12,11.36±0.29,64.17±0.32,1340±7,0.42±0.044,0.15±0.010,2.37±0.10,0.87±0.04,0.25±0.032,0.76±0.12,29.22±1.92,,30.94±3.65,0.006±0.003,0.48±0.11,4.10±0.67,0.006±0.003,125±11.5,,315±41.4,311±38.3,2.04±0.31,2.85±0.32,56.82±2.69,0.72±0.03,0.78±0.05,0.30±0.02,1.80±0.06
,A020,"Wheat, whole (Triticum aestivum)",10.58±1.11,10.59±0.60,1.47±0.05,11.23±0.77,64.72±1.74,1347±23,0.46±0.067,0.15±0.041,2.68±0.19,1.08±0.21,0.26±0.036,1.03±0.58,30.09±3.79,,39.36±5.65,0.003±0.002,0.49±0.12,3.97±0.78,,125±14.8,,315±41.8,366±59.6,2.50±0.20,2.85±0.65,57.53±1.86,0.74±0.11,0.73±0.08,0.30±0.09,1.77±0.15
,A021,"Wheat, bulgur (Triticum aestivum)",8.61±0.32,10.84±0.75,1.45±0.02,8.81±0.45,69.06±0.74,1430±6,0.24±0.027,0.12±0.004,2.05±0.05,0.84±0.03,0.24±0.011,2.50±0.35,26.30±3.61,0.40±0.18,27.09±1.62,0.001±0.000,0.40±0.07,3.86±0.34,0.008±0.011,116±14.0,2.01±0.12,245±27.9,330±33.4,2.09±0.34,1.97±0.25,60.54±3.62,0.32±0.34,0.55±0.13,0.33±0.08,1.20±0.24
